date;Short Name;trip_headsign;stop_name;stop_id;arrival_time;departure_time;exception_type;stop_sequence;shape_id;timepoint;route_long_name;route_type;route_url;route_color;route_text_color;stop_lat;stop_lon;wheelchair_boarding
2024-05-18;R5;Manresa-Baixador;Abrera;AB;22:25:40;22:26:10;1;23;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Pl. Espanya;Abrera;AB;15:55:30;15:56:00;1;9;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Manresa-Baixador;Abrera;AB;16:25:40;16:26:10;1;23;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Manresa-Baixador;Abrera;AB;19:25:40;19:26:10;1;23;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Pl. Espanya;Abrera;AB;19:55:30;19:56:00;1;9;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Manresa-Baixador;Abrera;AB;20:25:40;20:26:10;1;23;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Pl. Espanya;Abrera;AB;10:55:30;10:56:00;1;9;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Manresa-Baixador;Abrera;AB;11:25:40;11:26:10;1;23;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Manresa-Baixador;Abrera;AB;14:25:40;14:26:10;1;23;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Manresa-Baixador;Abrera;AB;06:25:40;06:26:10;1;23;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Manresa-Baixador;Abrera;AB;09:25:40;09:26:10;1;23;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Olesa de Montserrat;Abrera;AB;22:45:10;22:45:40;1;23;100012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Pl. Espanya;Abrera;AB;23:10:00;23:10:30;1;2;200012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Pl. Espanya;Abrera;AB;16:11:00;16:11:30;1;2;200012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Pl. Espanya;Abrera;AB;18:22:00;18:22:30;1;2;200012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Olesa de Montserrat;Abrera;AB;19:51:10;19:51:40;1;23;100012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Olesa de Montserrat;Abrera;AB;20:51:10;20:51:40;1;23;100012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Pl. Espanya;Abrera;AB;10:22:00;10:22:30;1;2;200012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Olesa de Montserrat;Abrera;AB;11:51:10;11:51:40;1;23;100012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Pl. Espanya;Abrera;AB;12:11:00;12:11:30;1;2;200012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Olesa de Montserrat;Abrera;AB;13:51:10;13:51:40;1;23;100012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Olesa de Montserrat;Abrera;AB;07:46:10;07:46:40;1;23;100012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Pl. Espanya;Abrera;AB;09:22:00;09:22:30;1;2;200012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;S4;Olesa de Montserrat;Abrera;AB;10:51:10;10:51:40;1;23;100012;1;Barcelona Pl. Espanya - Olesa de Montserrat;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=S4;A78600;FFFFFF;41.52256137;1.906805399;0
2024-05-18;R5;Pl. Espanya;Montserrat-Aeri;AE;15:44:30;15:45:00;1;7;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R5;Manresa-Baixador;Montserrat-Aeri;AE;19:36:40;19:37:10;1;25;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R5;Manresa-Baixador;Montserrat-Aeri;AE;18:36:40;18:37:10;1;25;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R5;Pl. Espanya;Montserrat-Aeri;AE;13:44:30;13:45:00;1;7;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R5;Manresa-Baixador;Montserrat-Aeri;AE;14:36:40;14:37:10;1;25;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R5;Pl. Espanya;Montserrat-Aeri;AE;12:44:30;12:45:00;1;7;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R5;Manresa-Baixador;Montserrat-Aeri;AE;13:36:40;13:37:10;1;25;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R5;Manresa-Baixador;Montserrat-Aeri;AE;09:36:40;09:37:10;1;25;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R5;Manresa-Baixador;Montserrat-Aeri;AE;10:36:40;10:37:10;1;25;100007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R5;Martorell Enllaç;Montserrat-Aeri;AE;23:38:30;23:39:00;1;7;200007;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;R53;Pl. Espanya;Montserrat-Aeri;AE;22:44:30;22:45:00;1;7;200058;1;Barcelona Pl. Espanya - Manresa;2;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=R5;3dbfc3;FFFFFF;41.59119812;1.853361605;0
2024-05-18;L8;Pl. Espanya;Almeda;AL;15:41:45;15:42:15;1;4;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.35306747;2.085251402;0
2024-05-18;L8;Molí Nou - Ciutat Cooperativa;Almeda;AL;16:00:30;16:01:00;1;8;100005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.35306747;2.085251402;0
2024-05-18;L8;Pl. Espanya;Almeda;AL;17:00:45;17:01:15;1;4;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.35306747;2.085251402;0
2024-05-18;L8;Pl. Espanya;Almeda;AL;13:00:45;13:01:15;1;4;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.35306747;2.085251402;0
2024-05-18;L8;Pl. Espanya;Almeda;AL;12:00:45;12:01:15;1;4;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.35306747;2.085251402;0
2024-05-18;L8;Pl. Espanya;Almeda;AL;14:00:45;14:01:15;1;4;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.35306747;2.085251402;0
2024-05-18;L8;Pl. Espanya;Almeda;AL;13:41:45;13:42:15;1;4;200005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.35306747;2.085251402;0
2024-05-18;L8;Molí Nou - Ciutat Cooperativa;Almeda;AL;14:00:30;14:01:00;1;8;100005;1;Barcelona Pl. Espanya - Molí Nou;1;http://www.fgc.cat/cat/llobregat-anoia.asp?linia=L8;E274AA;FFFFFF;41.35306747;2.085251402;0
