LÍNIA,NOM LÍNIA,ORDRE,ESTACIÓ,INICIALS,NOM ESTACIÓ,LATITUD,LONGITUD
1.0,Barcelona-Vallès,1.0,1.0,PC,Pl. Catalunya,41.387537057497994,2.1696314242879247
1.0,Barcelona-Vallès,6.0,6.0,BN,La Bonanova,41.39793639252188,2.1364125396333993
1.0,Barcelona-Vallès,9.0,9.0,RE,Reina Elisenda,41.39866626182391,2.118547751527965
1.0,Barcelona-Vallès,10.0,10.0,PM,Plaça Molina,41.401466245365, 2.1476189510137647
1.0,Barcelona-Vallès,21.0,14.0,PF,Peu del Funicular,41.40927183836537,2.111397510797595
1.0,Barcelona-Vallès,37.0,43.0,EN,Terrassa  Estació del nord,41.5699611062041,2.0142350819681476
1.0,Barcelona-Vallès,42.0,29.0,BT,Bellaterra,41.50095121024432,2.0904612243962863
1.0,Barcelona-Vallès,2.0,2.0,PR,Provença,41.392977399140996,2.1580552396332013
1.0,Barcelona-Vallès,4.0,4.0,SG,Sant Gervasi,41.402238913712644,2.146746873809806
1.0,Barcelona-Vallès,47.0,33.0,RA,Sabadell Rambla,41.54577279726444, 2.109729112914397
1.0,Barcelona-Vallès,5.0,5.0,MN,Muntaner,41.39820398,2.142489881
1.0,Barcelona-Vallès,50.0,37.0,NO,Sabadell Nord,41.56211435,2.096243297
1.0,Barcelona-Vallès,7.0,7.0,TT,Les Tres Torres,41.39821519,2.131126482
1.0,Barcelona-Vallès,23.0,16.0,VL,Baixador de Vallvidrera,414200984,20.943.619
1.0,Barcelona-Vallès,25.0,18.0,LF,La Floresta,414448439,20.706.904
1.0,Barcelona-Vallès,27.0,20.0,SC,Sant Cugat,41467914,20.756.251
1.0,Barcelona-Vallès,31.0,21.0,MS,Mira-Sol,4146936,20.587.965
1.0,Barcelona-Vallès,33.0,23.0,RB,Rubí,41486292,20.287.831
1.0,Barcelona-Vallès,34.0,24.0,FN,Les Fonts,415284738,20.310.073
1.0,Barcelona-Vallès,38.0,44.0,NA,Terrassa Nacions Unides,415801601,20.108.845
1.0,Barcelona-Vallès,41.0,28.0,SJ,Sant Joan,414904319,20.744.178
1.0,Barcelona-Vallès,44.0,31.0,SQ,Sant Quirze,415300743,20.852.634
1.0,Barcelona-Vallès,48.0,35.0,PJ,Sabadell Pl. Major,415473119,21.060.856
1.0,Barcelona-Vallès,49.0,36.0,CT,Creu Alta,41554958,20.978.101
1.0,Barcelona-Vallès,3.0,3.0,GR,Gràcia,41.40039774835669,2.1520497264413287
1.0,Barcelona-Vallès,8.0,8.0,SR,Sarrià,41398504,21.229.951
1.0,Barcelona-Vallès,11.0,11.0,PD,Pàdua,414033627,21.403.702
1.0,Barcelona-Vallès,12.0,12.0,EP,El Putxet,414056501,21.367.563
1.0,Barcelona-Vallès,13.0,13.0,TB,Av.Tibidabo,414100139,21.344.825
1.0,Barcelona-Vallès,22.0,15.0,VS,Vallvidrera Superior,414142288,21.030.853
1.0,Barcelona-Vallès,24.0,17.0,LP,Les Planes,414274237,2.089.009
1.0,Barcelona-Vallès,26.0,19.0,VD,Valldoreix,41,
1.0,Barcelona-Vallès,32.0,22.0,HG,Hospital General,414761504,20.439.375
1.0,Barcelona-Vallès,35.0,25.0,TR,Terrassa Rambla,41559722,20.049.434
1.0,Barcelona-Vallès,36.0,42.0,VP,Vallparadís Universitat,415635188,20.162.802
1.0,Barcelona-Vallès,40.0,27.0,VO,Volpelleres,41481285,20.701.214
1.0,Barcelona-Vallès,43.0,30.0,UN,Universitat Autònoma,41,
1.0,Barcelona-Vallès,45.0,32.0,SB,Sabadell Estació,415287091,21.028.303
1.0,Barcelona-Vallès,51.0,38.0,PN,Sabadell Parc Nord,415713704,20.873.035
